"Statistic Label","County","Sex","CensusYear","UNIT","VALUE"
"Population at Each Census 1841 to 2016","State","Male","1936","Number","1520454"
"Population at Each Census 1841 to 2016","State","Male","1946","Number","1494877"
"Population at Each Census 1841 to 2016","State","Male","1951","Number","1506597"
"Population at Each Census 1841 to 2016","State","Male","1956","Number","1462928"
"Population at Each Census 1841 to 2016","State","Male","1961","Number","1416549"
"Population at Each Census 1841 to 2016","State","Male","1966","Number","1449032"
"Population at Each Census 1841 to 2016","State","Male","1971","Number","1495760"
"Population at Each Census 1841 to 2016","State","Male","1979","Number","1693272"
"Population at Each Census 1841 to 2016","State","Male","1981","Number","1729354"
"Population at Each Census 1841 to 2016","State","Male","1986","Number","1769690"
"Population at Each Census 1841 to 2016","State","Male","1991","Number","1753418"
"Population at Each Census 1841 to 2016","State","Male","1996","Number","1800232"
"Population at Each Census 1841 to 2016","State","Male","2002","Number","1946164"
"Population at Each Census 1841 to 2016","State","Male","2006","Number","2121171"
"Population at Each Census 1841 to 2016","State","Male","2011","Number","2272699"
"Population at Each Census 1841 to 2016","State","Male","2016","Number","2354428"
"Population at Each Census 1841 to 2016","State","Female","1841","Number","3306314"
"Population at Each Census 1841 to 2016","State","Female","1851","Number","2617079"
"Population at Each Census 1841 to 2016","State","Female","1861","Number","2233069"
"Population at Each Census 1841 to 2016","State","Female","1871","Number","2060719"
"Population at Each Census 1841 to 2016","State","Female","1881","Number","1957582"
"Population at Each Census 1841 to 2016","State","Female","1891","Number","1740093"
"Population at Each Census 1841 to 2016","State","Female","1901","Number","1611738"
"Population at Each Census 1841 to 2016","State","Female","1911","Number","1550179"
"Population at Each Census 1841 to 2016","State","Female","1926","Number","1465103"
"Population at Each Census 1841 to 2016","State","Female","1936","Number","1447966"
"Population at Each Census 1841 to 2016","State","Female","1946","Number","1460230"
"Population at Each Census 1841 to 2016","State","Female","1951","Number","1453996"
"Population at Each Census 1841 to 2016","State","Female","1956","Number","1435336"
"Population at Each Census 1841 to 2016","State","Female","1961","Number","1401792"
"Population at Each Census 1841 to 2016","State","Female","1966","Number","1434970"
"Population at Each Census 1841 to 2016","State","Female","1971","Number","1482488"
"Population at Each Census 1841 to 2016","State","Female","1979","Number","1674945"
"Population at Each Census 1841 to 2016","State","Female","1981","Number","1714051"
"Population at Each Census 1841 to 2016","State","Female","1986","Number","1770953"
"Population at Each Census 1841 to 2016","State","Female","1991","Number","1772301"
"Population at Each Census 1841 to 2016","State","Female","1996","Number","1825855"
"Population at Each Census 1841 to 2016","State","Female","2002","Number","1971039"
"Population at Each Census 1841 to 2016","State","Female","2006","Number","2118677"
"Population at Each Census 1841 to 2016","State","Female","2011","Number","2315553"
"Population at Each Census 1841 to 2016","State","Female","2016","Number","2407437"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1841","Number","86228"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1851","Number","68078"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1861","Number","57137"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1871","Number","51650"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1881","Number","46568"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1891","Number","40936"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1901","Number","37748"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1911","Number","36252"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1926","Number","34476"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1936","Number","34452"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1946","Number","34081"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1951","Number","34162"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1956","Number","33888"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1961","Number","33342"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1966","Number","33593"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1971","Number","34237"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1979","Number","38668"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1981","Number","39820"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1986","Number","40988"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1991","Number","40942"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","1996","Number","41616"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","2002","Number","46014"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","2006","Number","50349"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","2011","Number","54612"
"Population at Each Census 1841 to 2016","Carlow","Both sexes","2016","Number","56932"
"Population at Each Census 1841 to 2016","Carlow","Male","1841","Number","42428"
"Population at Each Census 1841 to 2016","Carlow","Male","1851","Number","33016"
"Population at Each Census 1841 to 2016","Carlow","Male","1861","Number","28139"
"Population at Each Census 1841 to 2016","Carlow","Male","1871","Number","25464"
"Population at Each Census 1841 to 2016","Carlow","Male","1881","Number","23078"
"Population at Each Census 1841 to 2016","Carlow","Male","1891","Number","20552"
"Population at Each Census 1841 to 2016","Carlow","Male","1901","Number","19009"
"Population at Each Census 1841 to 2016","Carlow","Male","1911","Number","18481"
"Population at Each Census 1841 to 2016","Carlow","Male","1926","Number","17802"
"Population at Each Census 1841 to 2016","Carlow","Male","1936","Number","18066"
"Population at Each Census 1841 to 2016","Carlow","Male","1946","Number","17702"
"Population at Each Census 1841 to 2016","Carlow","Male","1951","Number","17848"
"Population at Each Census 1841 to 2016","Carlow","Male","1956","Number","17666"
"Population at Each Census 1841 to 2016","Carlow","Male","1961","Number","17360"
"Population at Each Census 1841 to 2016","Carlow","Male","1966","Number","17320"
"Population at Each Census 1841 to 2016","Carlow","Male","1971","Number","17502"
"Population at Each Census 1841 to 2016","Carlow","Male","1979","Number","19743"
"Population at Each Census 1841 to 2016","Carlow","Male","1981","Number","20195"
"Population at Each Census 1841 to 2016","Carlow","Male","1986","Number","20816"
"Population at Each Census 1841 to 2016","Carlow","Male","1991","Number","20785"
"Population at Each Census 1841 to 2016","Carlow","Male","1996","Number","21086"
"Population at Each Census 1841 to 2016","Carlow","Male","2002","Number","23403"
"Population at Each Census 1841 to 2016","Carlow","Male","2006","Number","25611"
"Population at Each Census 1841 to 2016","Carlow","Male","2011","Number","27431"
"Population at Each Census 1841 to 2016","Carlow","Male","2016","Number","28465"
"Population at Each Census 1841 to 2016","Carlow","Female","1841","Number","43800"
"Population at Each Census 1841 to 2016","Carlow","Female","1851","Number","35062"
"Population at Each Census 1841 to 2016","Carlow","Female","1861","Number","28998"
"Population at Each Census 1841 to 2016","Carlow","Female","1871","Number","26186"
"Population at Each Census 1841 to 2016","Carlow","Female","1881","Number","23490"
"Population at Each Census 1841 to 2016","Carlow","Female","1891","Number","20384"
"Population at Each Census 1841 to 2016","Carlow","Female","1901","Number","18739"
"Population at Each Census 1841 to 2016","Carlow","Female","1911","Number","17771"
"Population at Each Census 1841 to 2016","Carlow","Female","1926","Number","16674"
"Population at Each Census 1841 to 2016","Carlow","Female","1936","Number","16386"
"Population at Each Census 1841 to 2016","Carlow","Female","1946","Number","16379"
"Population at Each Census 1841 to 2016","Carlow","Female","1951","Number","16314"
"Population at Each Census 1841 to 2016","Carlow","Female","1956","Number","16222"
"Population at Each Census 1841 to 2016","Carlow","Female","1961","Number","15982"
"Population at Each Census 1841 to 2016","Carlow","Female","1966","Number","16273"
"Population at Each Census 1841 to 2016","Carlow","Female","1971","Number","16735"
"Population at Each Census 1841 to 2016","Carlow","Female","1979","Number","18925"
"Population at Each Census 1841 to 2016","Carlow","Female","1981","Number","19625"
"Population at Each Census 1841 to 2016","Carlow","Female","1986","Number","20172"
"Population at Each Census 1841 to 2016","Carlow","Female","1991","Number","20157"
"Population at Each Census 1841 to 2016","Carlow","Female","1996","Number","20530"
"Population at Each Census 1841 to 2016","Carlow","Female","2002","Number","22611"
"Population at Each Census 1841 to 2016","Carlow","Female","2006","Number","24738"
"Population at Each Census 1841 to 2016","Carlow","Female","2011","Number","27181"
"Population at Each Census 1841 to 2016","Carlow","Female","2016","Number","28467"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1841","Number","372773"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1851","Number","405147"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1861","Number","410252"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1871","Number","405262"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1881","Number","418910"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1891","Number","419216"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1901","Number","448206"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1911","Number","477196"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1926","Number","505654"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1936","Number","586925"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1946","Number","636193"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1951","Number","693022"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1956","Number","705781"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1961","Number","718332"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1966","Number","795047"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1971","Number","852219"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1979","Number","983683"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1981","Number","1003164"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1986","Number","1021449"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1991","Number","1025304"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","1996","Number","1058264"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","2002","Number","1122821"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","2006","Number","1187176"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","2011","Number","1273069"
"Population at Each Census 1841 to 2016","Dublin","Both sexes","2016","Number","1347359"
"Population at Each Census 1841 to 2016","Dublin","Male","1841","Number","170930"
"Population at Each Census 1841 to 2016","Dublin","Male","1851","Number","187286"
"Population at Each Census 1841 to 2016","Dublin","Male","1861","Number","191435"
"Population at Each Census 1841 to 2016","Dublin","Male","1871","Number","188108"
"Population at Each Census 1841 to 2016","Dublin","Male","1881","Number","197740"
"Population at Each Census 1841 to 2016","Dublin","Male","1891","Number","197409"
"Population at Each Census 1841 to 2016","Dublin","Male","1901","Number","211786"
"Population at Each Census 1841 to 2016","Dublin","Male","1911","Number","226364"
"Population at Each Census 1841 to 2016","Dublin","Male","1926","Number","238995"
"Population at Each Census 1841 to 2016","Dublin","Male","1936","Number","277098"
"Population at Each Census 1841 to 2016","Dublin","Male","1946","Number","292205"
"Population at Each Census 1841 to 2016","Dublin","Male","1951","Number","326126"
"Population at Each Census 1841 to 2016","Dublin","Male","1956","Number","329627"
"Population at Each Census 1841 to 2016","Dublin","Male","1961","Number","335004"
"Population at Each Census 1841 to 2016","Dublin","Male","1966","Number","375692"
"Population at Each Census 1841 to 2016","Dublin","Male","1971","Number","406008"
"Population at Each Census 1841 to 2016","Dublin","Male","1979","Number","473104"
"Population at Each Census 1841 to 2016","Dublin","Male","1981","Number","482342"
"Population at Each Census 1841 to 2016","Dublin","Male","1986","Number","492279"
"Population at Each Census 1841 to 2016","Dublin","Male","1991","Number","492432"
"Population at Each Census 1841 to 2016","Dublin","Male","1996","Number","508966"
"Population at Each Census 1841 to 2016","Dublin","Male","2002","Number","544075"
"Population at Each Census 1841 to 2016","Dublin","Male","2006","Number","582557"
"Population at Each Census 1841 to 2016","Dublin","Male","2011","Number","619902"
"Population at Each Census 1841 to 2016","Dublin","Male","2016","Number","658371"
"Population at Each Census 1841 to 2016","Dublin","Female","1841","Number","201843"
"Population at Each Census 1841 to 2016","Dublin","Female","1851","Number","217861"
"Population at Each Census 1841 to 2016","Dublin","Female","1861","Number","218817"
"Population at Each Census 1841 to 2016","Dublin","Female","1871","Number","217154"
"Population at Each Census 1841 to 2016","Dublin","Female","1881","Number","221170"
"Population at Each Census 1841 to 2016","Dublin","Female","1891","Number","221807"
"Population at Each Census 1841 to 2016","Dublin","Female","1901","Number","236420"
"Population at Each Census 1841 to 2016","Dublin","Female","1911","Number","250832"
"Population at Each Census 1841 to 2016","Dublin","Female","1926","Number","266659"
"Population at Each Census 1841 to 2016","Dublin","Female","1936","Number","309827"
"Population at Each Census 1841 to 2016","Dublin","Female","1946","Number","343988"
"Population at Each Census 1841 to 2016","Dublin","Female","1951","Number","366896"
"Population at Each Census 1841 to 2016","Dublin","Female","1956","Number","376154"
"Population at Each Census 1841 to 2016","Dublin","Female","1961","Number","383328"
"Population at Each Census 1841 to 2016","Dublin","Female","1966","Number","419355"
"Population at Each Census 1841 to 2016","Dublin","Female","1971","Number","446211"
"Population at Each Census 1841 to 2016","Dublin","Female","1979","Number","510579"
"Population at Each Census 1841 to 2016","Dublin","Female","1981","Number","520822"
"Population at Each Census 1841 to 2016","Dublin","Female","1986","Number","529170"
"Population at Each Census 1841 to 2016","Dublin","Female","1991","Number","532872"
"Population at Each Census 1841 to 2016","Dublin","Female","1996","Number","549298"
"Population at Each Census 1841 to 2016","Dublin","Female","2002","Number","578746"
"Population at Each Census 1841 to 2016","Dublin","Female","2006","Number","604619"
"Population at Each Census 1841 to 2016","Dublin","Female","2011","Number","653167"
"Population at Each Census 1841 to 2016","Dublin","Female","2016","Number","688988"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1841","Number","114488"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1851","Number","95723"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1861","Number","90946"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1871","Number","83614"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1881","Number","75804"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1891","Number","70206"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1901","Number","63566"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1911","Number","66627"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1926","Number","58028"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1936","Number","57892"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1946","Number","64849"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1951","Number","66437"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1956","Number","65915"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1961","Number","64420"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1966","Number","66404"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1971","Number","71977"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1979","Number","97185"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1981","Number","104122"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1986","Number","116247"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1991","Number","122656"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","1996","Number","134992"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","2002","Number","163944"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","2006","Number","186335"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","2011","Number","210312"
"Population at Each Census 1841 to 2016","Kildare","Both sexes","2016","Number","222504"
"Population at Each Census 1841 to 2016","Kildare","Male","1841","Number","58030"
"Population at Each Census 1841 to 2016","Kildare","Male","1851","Number","48528"
"Population at Each Census 1841 to 2016","Kildare","Male","1861","Number","48960"
"Population at Each Census 1841 to 2016","Kildare","Male","1871","Number","44946"
"Population at Each Census 1841 to 2016","Kildare","Male","1881","Number","40701"
"Population at Each Census 1841 to 2016","Kildare","Male","1891","Number","38407"
"Population at Each Census 1841 to 2016","Kildare","Male","1901","Number","34703"
"Population at Each Census 1841 to 2016","Kildare","Male","1911","Number","37684"
"Population at Each Census 1841 to 2016","Kildare","Male","1926","Number","31987"
"Population at Each Census 1841 to 2016","Kildare","Male","1936","Number","31956"
"Population at Each Census 1841 to 2016","Kildare","Male","1946","Number","36057"
"Population at Each Census 1841 to 2016","Kildare","Male","1951","Number","36364"
"Population at Each Census 1841 to 2016","Kildare","Male","1956","Number","35069"
"Population at Each Census 1841 to 2016","Kildare","Male","1961","Number","34068"
"Population at Each Census 1841 to 2016","Kildare","Male","1966","Number","34829"
"Population at Each Census 1841 to 2016","Kildare","Male","1971","Number","37279"
"Population at Each Census 1841 to 2016","Kildare","Male","1979","Number","50666"
"Population at Each Census 1841 to 2016","Kildare","Male","1981","Number","53967"
"Population at Each Census 1841 to 2016","Kildare","Male","1986","Number","59542"
"Population at Each Census 1841 to 2016","Kildare","Male","1991","Number","62207"
"Population at Each Census 1841 to 2016","Kildare","Male","1996","Number","68007"
"Population at Each Census 1841 to 2016","Kildare","Male","2002","Number","82735"
"Population at Each Census 1841 to 2016","Kildare","Male","2006","Number","94190"
"Population at Each Census 1841 to 2016","Kildare","Male","2011","Number","104658"
"Population at Each Census 1841 to 2016","Kildare","Male","2016","Number","110546"
"Population at Each Census 1841 to 2016","Kildare","Female","1841","Number","56458"
"Population at Each Census 1841 to 2016","Kildare","Female","1851","Number","47195"
"Population at Each Census 1841 to 2016","Kildare","Female","1861","Number","41986"
"Population at Each Census 1841 to 2016","Kildare","Female","1871","Number","38668"
"Population at Each Census 1841 to 2016","Kildare","Female","1881","Number","35103"
"Population at Each Census 1841 to 2016","Kildare","Female","1891","Number","31799"
"Population at Each Census 1841 to 2016","Kildare","Female","1901","Number","28863"
"Population at Each Census 1841 to 2016","Kildare","Female","1911","Number","28943"
"Population at Each Census 1841 to 2016","Kildare","Female","1926","Number","26041"
"Population at Each Census 1841 to 2016","Kildare","Female","1936","Number","25936"
"Population at Each Census 1841 to 2016","Kildare","Female","1946","Number","28792"
"Population at Each Census 1841 to 2016","Kildare","Female","1951","Number","30073"
"Population at Each Census 1841 to 2016","Kildare","Female","1956","Number","30846"
"Population at Each Census 1841 to 2016","Kildare","Female","1961","Number","30352"
"Population at Each Census 1841 to 2016","Kildare","Female","1966","Number","31575"
"Population at Each Census 1841 to 2016","Kildare","Female","1971","Number","34698"
"Population at Each Census 1841 to 2016","Kildare","Female","1979","Number","46519"
"Population at Each Census 1841 to 2016","Kildare","Female","1981","Number","50155"
"Population at Each Census 1841 to 2016","Kildare","Female","1986","Number","56705"
"Population at Each Census 1841 to 2016","Kildare","Female","1991","Number","60449"
"Population at Each Census 1841 to 2016","Kildare","Female","1996","Number","66985"
"Population at Each Census 1841 to 2016","Kildare","Female","2002","Number","81209"
"Population at Each Census 1841 to 2016","Kildare","Female","2006","Number","92145"
"Population at Each Census 1841 to 2016","Kildare","Female","2011","Number","105654"
"Population at Each Census 1841 to 2016","Kildare","Female","2016","Number","111958"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1841","Number","202420"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1851","Number","158748"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1861","Number","124515"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1871","Number","109379"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1881","Number","99531"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1891","Number","87261"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1901","Number","79159"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1911","Number","74962"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1926","Number","70990"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1936","Number","68614"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1946","Number","66712"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1951","Number","65235"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1956","Number","64089"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1961","Number","61668"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1966","Number","60463"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1971","Number","61473"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1979","Number","69156"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1981","Number","70806"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1986","Number","73186"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1991","Number","73635"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","1996","Number","75336"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","2002","Number","80339"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","2006","Number","87558"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","2011","Number","95419"
"Population at Each Census 1841 to 2016","Kilkenny","Both sexes","2016","Number","99232"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1841","Number","99114"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1851","Number","76493"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1861","Number","60317"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1871","Number","52965"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1881","Number","48971"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1891","Number","43468"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1901","Number","40095"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1911","Number","38551"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1926","Number","37084"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1936","Number","36489"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1946","Number","35464"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1951","Number","34687"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1956","Number","33927"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1961","Number","32252"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1966","Number","31390"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1971","Number","31828"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1979","Number","35688"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1981","Number","36395"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1986","Number","37325"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1991","Number","37447"
"Population at Each Census 1841 to 2016","Kilkenny","Male","1996","Number","38144"
"Population at Each Census 1841 to 2016","Kilkenny","Male","2002","Number","40540"
"Population at Each Census 1841 to 2016","Kilkenny","Male","2006","Number","44263"
"Population at Each Census 1841 to 2016","Kilkenny","Male","2011","Number","47788"
"Population at Each Census 1841 to 2016","Kilkenny","Male","2016","Number","49533"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1841","Number","103306"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1851","Number","82255"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1861","Number","64198"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1871","Number","56414"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1881","Number","50560"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1891","Number","43793"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1901","Number","39064"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1911","Number","36411"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1926","Number","33906"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1936","Number","32125"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1946","Number","31248"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1951","Number","30548"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1956","Number","30162"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1961","Number","29416"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1966","Number","29073"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1971","Number","29645"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1979","Number","33468"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1981","Number","34411"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1986","Number","35861"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1991","Number","36188"
"Population at Each Census 1841 to 2016","Kilkenny","Female","1996","Number","37192"
"Population at Each Census 1841 to 2016","Kilkenny","Female","2002","Number","39799"
"Population at Each Census 1841 to 2016","Kilkenny","Female","2006","Number","43295"
"Population at Each Census 1841 to 2016","Kilkenny","Female","2011","Number","47631"
"Population at Each Census 1841 to 2016","Kilkenny","Female","2016","Number","49699"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1841","Number","153930"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1851","Number","111664"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1861","Number","90650"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1871","Number","79771"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1881","Number","73124"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1891","Number","64883"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1901","Number","57417"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1911","Number","54629"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1926","Number","51540"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1936","Number","50109"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1946","Number","49697"
