"Statistic Label","CensusYear","Sex","Age Group","Birthplace","UNIT","VALUE"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Taiwan (Province of China)","Number","170"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Thailand","Number","1839"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Uzbekistan","Number","242"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Viet Nam","Number","1711"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Other Asia(1)","Number","1320"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","United States of America (the)","Number","27726"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Argentina","Number","756"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Brazil","Number","9298"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Canada","Number","4809"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Chile","Number","311"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Colombia","Number","330"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Cuba","Number","196"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Guatemala","Number","272"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Jamaica","Number","249"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Mexico","Number","889"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Peru","Number","330"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Trinidad and Tobago","Number","236"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Venezuela (Bolivarian Republic of)","Number","482"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Other America(2)","Number","1232"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Australia","Number","5964"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","New Zealand","Number","2052"
"Population Usually Resident and Present in the State","2011","Both sexes","All ages","Other countries","Number","177"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","All countries","Number","973992"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Ireland - county of usual residence","Number","731189"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Ireland - county other than county of usual residence","Number","148981"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Northern Ireland","Number","7808"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Scotland","Number","1250"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","England and Wales","Number","22045"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Austria","Number","91"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Belgium","Number","257"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Bulgaria","Number","131"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Croatia","Number","89"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Cyprus","Number","37"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Czechia","Number","470"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Denmark","Number","81"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Estonia","Number","224"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Finland","Number","60"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","France","Number","872"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Germany","Number","1247"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Greece","Number","49"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Hungary","Number","705"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Italy","Number","499"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Latvia","Number","2643"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Lithuania","Number","4611"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Luxembourg","Number","46"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Malta","Number","34"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Netherlands (the)","Number","565"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Poland","Number","14172"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Portugal","Number","307"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Romania","Number","1755"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Slovakia","Number","869"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Slovenia","Number","13"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Spain","Number","800"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Sweden","Number","135"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Albania","Number","100"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Belarus","Number","175"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Bosnia and Herzegovina","Number","46"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Kosovo","Number","79"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Moldova (the Republic of)","Number","320"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Norway","Number","66"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Russian Federation (the)","Number","1640"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Serbia","Number","88"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Switzerland","Number","147"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Turkiye","Number","98"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Ukraine","Number","401"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Other Europe(1)","Number","46"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Algeria","Number","61"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Angola","Number","151"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Botswana","Number","20"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Cameroon","Number","111"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Congo","Number","385"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Egypt","Number","177"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Ethiopia","Number","256"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Ghana","Number","184"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Côte d'Ivoire","Number","53"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Kenya","Number","94"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Liberia","Number","16"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Libya","Number","98"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Malawi","Number","20"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Mauritius","Number","172"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Morocco","Number","39"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Nigeria","Number","3248"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Sierra Leone","Number","26"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Somalia","Number","188"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","South Africa","Number","970"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Sudan (the)","Number","191"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Tanzania, the United Republic of","Number","32"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Togo","Number","43"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Tunisia","Number","5"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Uganda","Number","69"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Zambia","Number","25"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Zimbabwe","Number","350"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Other Africa(2)","Number","217"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Afghanistan","Number","44"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Bahrain","Number","58"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Bangladesh","Number","254"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Myanmar","Number","12"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","China","Number","604"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","United Arab Emirates (the)","Number","196"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Georgia","Number","47"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Hong Kong","Number","81"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","India","Number","2969"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Indonesia","Number","29"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Iran (Islamic Republic of)","Number","40"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Iraq","Number","280"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Israel","Number","113"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Japan","Number","143"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Jordan","Number","67"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Kazakhstan","Number","166"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Kuwait","Number","82"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Lao People's Democratic Republic (the)","Number","18"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Lebanon","Number","20"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Malaysia","Number","242"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Mongolia","Number","40"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Nepal","Number","62"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Oman","Number","89"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Pakistan","Number","1026"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Philippines (the)","Number","2219"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Saudi Arabia","Number","705"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Singapore","Number","81"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Korea (the Republic of) South Korea","Number","36"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Sri Lanka","Number","66"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Syrian Arab Republic (the)","Number","36"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Taiwan (Province of China)","Number","34"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Thailand","Number","400"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Uzbekistan","Number","15"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Viet Nam","Number","773"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Other Asia(1)","Number","125"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","United States of America (the)","Number","6969"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Argentina","Number","40"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Brazil","Number","690"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Canada","Number","417"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Chile","Number","25"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Colombia","Number","36"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Cuba","Number","12"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Guatemala","Number","181"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Jamaica","Number","15"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Mexico","Number","204"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Peru","Number","31"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Trinidad and Tobago","Number","14"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Venezuela (Bolivarian Republic of)","Number","32"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Other America(2)","Number","182"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Australia","Number","1215"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","New Zealand","Number","299"
"Population Usually Resident and Present in the State","2011","Both sexes","0 - 14 years","Other countries","Number","16"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","All countries","Number","565471"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Ireland - county of usual residence","Number","367727"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Ireland - county other than county of usual residence","Number","93369"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Northern Ireland","Number","4840"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Scotland","Number","1383"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","England and Wales","Number","30251"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Austria","Number","96"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Belgium","Number","237"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Bulgaria","Number","211"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Croatia","Number","124"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Cyprus","Number","30"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Czechia","Number","724"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Denmark","Number","148"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Estonia","Number","377"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Finland","Number","113"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","France","Number","1887"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Germany","Number","1765"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Greece","Number","82"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Hungary","Number","741"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Italy","Number","594"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Latvia","Number","3450"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Lithuania","Number","5658"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Luxembourg","Number","49"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Malta","Number","23"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Netherlands (the)","Number","606"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Poland","Number","12416"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Portugal","Number","227"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Romania","Number","3379"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Slovakia","Number","1457"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Slovenia","Number","22"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Spain","Number","801"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Sweden","Number","336"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Albania","Number","118"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Belarus","Number","121"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Bosnia and Herzegovina","Number","204"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Kosovo","Number","133"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Moldova (the Republic of)","Number","486"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Norway","Number","127"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Russian Federation (the)","Number","580"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Serbia","Number","58"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Switzerland","Number","169"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Turkiye","Number","106"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Ukraine","Number","399"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Other Europe(1)","Number","55"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Algeria","Number","78"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Angola","Number","224"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Botswana","Number","60"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Cameroon","Number","156"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Congo","Number","628"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Egypt","Number","187"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Ethiopia","Number","61"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Ghana","Number","159"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Côte d'Ivoire","Number","50"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Kenya","Number","150"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Liberia","Number","50"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Libya","Number","112"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Malawi","Number","60"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Mauritius","Number","598"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Morocco","Number","48"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Nigeria","Number","2712"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Sierra Leone","Number","48"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Somalia","Number","436"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","South Africa","Number","1327"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Sudan (the)","Number","124"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Tanzania, the United Republic of","Number","41"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Togo","Number","48"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Tunisia","Number","17"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Uganda","Number","82"
"Population Usually Resident and Present in the State","2011","Both sexes","15 - 24 years","Zambia","Number","53"
